word,url,width,height
every,http://media0.giphy.com/media/JGtc3NO6tbYGI/200_d.gif,300,177
handed,http://media0.giphy.com/media/EAFo0jDdYFmmY/200_d.gif,300,169
down,http://media1.giphy.com/media/CMRWlA55AYLpS/200_d.gif,500,270
see,http://media0.giphy.com/media/nYIy3e4n6AAp2/200_d.gif,400,225
therefore,http://media0.giphy.com/media/Awycb03NuzOo0/200_d.gif,245,300
how,http://media0.giphy.com/media/yegGQEaRjq46Y/200_d.gif,501,351
product,http://media0.giphy.com/media/dx7Mh3xrcA6Vq/200_d.gif,300,210
long,http://media0.giphy.com/media/FbPsiH5HTH1Di/200_d.gif,275,255
course,http://media0.giphy.com/media/RWSWxKREvPbKo/200_d.gif,460,334
series,http://media0.giphy.com/media/1hrhORMKYPO9y/200_d.gif,400,226
revolutions,http://media0.giphy.com/media/UDiYKr38WPXZ6/200_d.gif,500,278
modes,http://media0.giphy.com/media/oy1qv5UMDwFH2/200_d.gif,320,218
step,http://media0.giphy.com/media/IA1jHpQHy27YI/200_d.gif,280,210
accompanied,http://media0.giphy.com/media/XwPWqTlyy551S/200_d.gif,500,430
corresponding,http://media1.giphy.com/media/DOyoCmR7sCxHy/200_d.gif,500,500
political,http://media0.giphy.com/media/xDXphovxoLrc4/200_d.gif,500,300
advance,http://media0.giphy.com/media/A6BWyePP3uBEs/200_d.gif,500,257
under,http://media0.giphy.com/media/pe84NK4wz3rz2/200_d.gif,360,360
sway,http://media0.giphy.com/media/2ZMeWCdEpS57q/200_d.gif,500,270
nobility,http://media0.giphy.com/media/VRbRNnGZRNM0o/200_d.gif,245,210
armed,http://media0.giphy.com/media/EK7D0QnesPEWI/200_d.gif,320,246
self-governing,none,,
association,http://media0.giphy.com/media/RbAmK0G8BoGOI/200_d.gif,400,270
medieval,http://media0.giphy.com/media/ekK1tR0HYKPYY/200_d.gif,245,261
commune,none,,
[4],http://media0.giphy.com/media/VaMdXx4MZRjW0/200_d.gif,300,124
